treatment,richness,composition,temperature,nutrients,species,replicate,sample_ID
Tmp_25_28_Nut3,2,LP,25-28 ,3,Loxo_Para,3,LP_Tmp_25_28_Nut3_3
Tmp_25_28_Nut3,4,DLPS,25-28 ,3,Dexio_Loxo_Para_Spiro,1,DLPS_Tmp_25_28_Nut3_1
Tmp_25_28_Nut3,2,LS,25-28 ,3,Loxo_Spiro,1,LS_Tmp_25_28_Nut3_1
Tmp_25_28_Nut3,2,LS,25-28 ,3,Loxo_Spiro,3,LS_Tmp_25_28_Nut3_3
Tmp_25_28_Nut3,4,CDPS,25-28 ,3,Colp_Dexio_Para_Spiro,1,CDPS_Tmp_25_28_Nut3_1
Tmp_25_28_Nut0.75,3,CDS,25-28 ,0.75,Colp_Dexio_Spiro,2,CDS_Tmp_25_28_Nut0.75_2
Tmp_25_28_Nut3,4,CDLS,25-28 ,3,Colp_Dexio_Loxo_Spiro,3,CDLS_Tmp_25_28_Nut3_3
Tmp_25_28_Nut0.75,2,DS,25-28 ,0.75,Dexio_Spiro,2,DS_Tmp_25_28_Nut0.75_2
Tmp_25_28_Nut0.01,4,CDLS,25-28 ,0.01,Colp_Dexio_Loxo_Spiro,2,CDLS_Tmp_25_28_Nut0.01_2
Tmp_25_28_Nut0.01,3,DPS,25-28 ,0.01,Dexio_Para_Spiro,3,DPS_Tmp_25_28_Nut0.01_3
Tmp_25_28_Nut3,4,CDPS,25-28 ,3,Colp_Dexio_Para_Spiro,3,CDPS_Tmp_25_28_Nut3_3
Tmp_25_28_Nut0.75,3,LPS,25-28 ,0.75,Loxo_Para_Spiro,3,LPS_Tmp_25_28_Nut0.75_3
Tmp_25_28_Nut0.75,3,CDL,25-28 ,0.75,Colp_Dexio_Loxo,1,CDL_Tmp_25_28_Nut0.75_1
