"","time","treatment","temperature","nutrients","dissimilarity","divergence","species","composition","richness"
"226",26,"Tmp_18_21_Nut0.01",18,0.01,0,NA,"Colpidium_Dexiostoma","CD",2
"227",26,"Tmp_18_21_Nut0.35",18,0.35,0,NA,"Colpidium_Dexiostoma","CD",2
"228",26,"Tmp_18_21_Nut0.75",18,0.75,0,NA,"Colpidium_Dexiostoma","CD",2
"229",26,"Tmp_22_25_Nut0.01",22,0.01,0,NA,"Colpidium_Dexiostoma","CD",2
"230",26,"Tmp_22_25_Nut0.35",22,0.35,0,NA,"Colpidium_Dexiostoma","CD",2
"231",26,"Tmp_22_25_Nut0.75",22,0.75,0,NA,"Colpidium_Dexiostoma","CD",2
"232",26,"Tmp_25_28_Nut0.01",25,0.01,0,NA,"Colpidium_Dexiostoma","CD",2
"233",26,"Tmp_25_28_Nut0.35",25,0.35,0,NA,"Colpidium_Dexiostoma","CD",2
"234",26,"Tmp_25_28_Nut0.75",25,0.75,0,NA,"Colpidium_Dexiostoma","CD",2
"235",27,"Tmp_18_21_Nut0.01",18,0.01,1.00351719913579,0,"Colpidium_Dexiostoma","CD",2
"236",27,"Tmp_18_21_Nut0.35",18,0.35,1.00680877423717,0.569044455997606,"Colpidium_Dexiostoma","CD",2
"237",27,"Tmp_18_21_Nut0.75",18,0.75,1.0121806065558,0,"Colpidium_Dexiostoma","CD",2
"238",27,"Tmp_22_25_Nut0.01",22,0.01,1.09898387600416,0,"Colpidium_Dexiostoma","CD",2
"239",27,"Tmp_22_25_Nut0.35",22,0.35,1.01213402898927,0,"Colpidium_Dexiostoma","CD",2
"240",27,"Tmp_22_25_Nut0.75",22,0.75,1.0443765575642,0.135134596819338,"Colpidium_Dexiostoma","CD",2
"241",27,"Tmp_25_28_Nut0.01",25,0.01,1.13817141995113,0,"Colpidium_Dexiostoma","CD",2
"242",27,"Tmp_25_28_Nut0.35",25,0.35,1.18089853310021,0,"Colpidium_Dexiostoma","CD",2
"243",27,"Tmp_25_28_Nut0.75",25,0.75,1.18015578390679,0,"Colpidium_Dexiostoma","CD",2
"244",28,"Tmp_18_21_Nut0.01",21,0.01,0,NA,"Colpidium_Dexiostoma","CD",2
"245",28,"Tmp_18_21_Nut0.35",21,0.35,0,NA,"Colpidium_Dexiostoma","CD",2
"246",28,"Tmp_18_21_Nut0.75",21,0.75,0,NA,"Colpidium_Dexiostoma","CD",2
"247",28,"Tmp_22_25_Nut0.01",25,0.01,0,NA,"Colpidium_Dexiostoma","CD",2
"248",28,"Tmp_22_25_Nut0.35",25,0.35,0,NA,"Colpidium_Dexiostoma","CD",2
"249",28,"Tmp_22_25_Nut0.75",25,0.75,0,NA,"Colpidium_Dexiostoma","CD",2
